Method Name,Class/Component/Service Name,Purpose,Internal Working,Real-Time Usage Scenario,Example Usage
of(),RxJS Creation Operator,Create an Observable from a static value,"Emits the provided value(s) synchronously and then completes.",Providing fallback values in catchError handlers,"catchError(() => of(undefined))"
BehaviorSubject.next(),CustomerService,Emit a new value to all subscribers,"Stores the value and sends it to all current subscribers. New subscribers get this value immediately.",Updating the customer cache after API call,"this.customersCache$.next(customers);"
BehaviorSubject.getValue(),CustomerService,Get the current value synchronously,"Returns the last emitted value without subscribing. Does not trigger any side effects.",Checking if cached data exists before making API call,"const cachedData = this.customersCache$.getValue();"
signal.set(),AskAgentComponent,Set a new value for a signal,"Replaces the current signal value and notifies all dependents to re-render.",Toggling loading state,"this.isLoading.set(true);"
signal.update(),AskAgentComponent,Update signal value based on current value,"Receives a function that takes the current value and returns a new value. Notifies dependents.",Adding a new message to the messages array,"this.messages.update(msgs => [...msgs, newMsg]);"
FormBuilder.group(),AddCustomerComponent / UpdateCustomerComponent,Create a FormGroup with controls and validators,"Creates FormGroup instance with FormControls. Each key becomes a FormControl with initial value and validators.",Building reactive forms for data entry,"this.fb.group({ name: ['', Validators.required], age: [0, Validators.min(1)] })"
FormGroup.patchValue(),UpdateCustomerComponent,Update some form controls (not all),"Sets values for specified controls only, leaving others unchanged. Can suppress events with emitEvent option.",Populating form with data fetched from API,"this.updateForm.patchValue({ fullName: customer.name, address: customer.address }, { emitEvent: false })"
FormGroup.reset(),UpdateCustomerComponent / AddCustomerComponent,Reset form to initial state,"Clears all control values, resets validation state to pristine/untouched.",Clearing form after successful submission,"this.customerForm.reset();"
FormGroup.markAllAsTouched(),AddCustomerComponent / UpdateCustomerComponent,Mark all controls as touched to show validation errors,"Recursively marks all controls as touched, triggering validation error display in template.",Showing all errors when user submits invalid form,"this.customerForm.markAllAsTouched();"
FormGroup.valid,AddCustomerComponent / UpdateCustomerComponent,Check if all form controls pass validation,"Returns true if all controls in the group have valid status. Computed from individual control validations.",Enabling/disabling submit button based on form validity,"[disabled]=""customerForm.invalid || isSubmitting"""
FormGroup.valueChanges,UpdateCustomerComponent,Observable that emits on any form control change,"Returns Observable<any> that emits the form's current value whenever any control changes.",Real-time interest calculation as user types,"this.updateForm.valueChanges.subscribe(() => { this.calculateInterest(); })"
Router.navigate(),All Components,Navigate to a route programmatically,"Builds a URL from the provided commands, checks guards, resolves data, and activates the route.",Redirecting after form submission or navigating to edit page,"this.router.navigate(['/update-customer'], { queryParams: { id: id } })"
Router.getCurrentNavigation(),CustomerListComponent,Get active navigation during route change,"Returns the current Navigation object if navigation is in progress, null otherwise.",Checking navigation state for forceReload flag,"const nav = this.router.getCurrentNavigation(); const reload = nav?.extras?.state?.['forceReload'];"
ActivatedRoute.queryParams,UpdateCustomerComponent,Access URL query parameters as Observable,"Returns Observable<Params> that emits current query params and re-emits on change.",Reading customer ID from URL to load data,"this.route.queryParams.subscribe(params => { if (params['id']) this.loadCustomer(); })"
ChangeDetectorRef.detectChanges(),All Components,Force immediate change detection for the component,"Runs change detection synchronously for this component and its children. Required in zoneless mode.",Updating UI after async operations in zoneless Angular,"this.cdr.detectChanges();"
ChangeDetectorRef.markForCheck(),UpdateCustomerComponent,Flag component for checking in next detection cycle,"Marks the component (and ancestors up to root) to be checked in the next change detection run.",Scheduling UI update after form value changes,"this.cdr.markForCheck();"
Array.filter(),CustomerListComponent,Filter array based on condition,"Creates a new array with elements that pass the test function. Does not mutate original array.",Implementing client-side search/filter on customer list,"this.customers = this.allCustomers.filter(c => c.name.includes(searchTerm))"
Array.map(),CustomerService,Transform each array element,"Creates a new array with the results of calling a function on every element.",Converting backend VOs to frontend Customer objects,"vos.map(vo => this.mapVoToCustomer(vo))"
Array.find(),UpdateCustomerComponent,Find first matching element in array,"Returns the first element that satisfies the test function, or undefined if none found.",Finding a specific customer in the cached list by ID,"customers.find(c => c.id === id)"
Array.slice(),CustomerListComponent,Extract a portion of an array,"Returns a shallow copy of a portion of an array. Does not mutate the original.",Implementing client-side pagination,"this.customers.slice(startIndex, endIndex)"
parseFloat(),CustomerService,Convert string to floating-point number,"Parses a string argument and returns a floating-point number. Returns NaN if parsing fails.",Converting backend string numbers to JavaScript numbers,"principal: parseFloat(vo.principalAmount)"
Math.ceil(),CustomerListComponent,Round up to nearest integer,"Returns the smallest integer greater than or equal to a given number.",Calculating total number of pages for pagination,"this.totalPages = Math.ceil(this.customers.length / this.pageSize);"
setTimeout(),CustomerListComponent / AddCustomerComponent,Execute code after a delay,"Schedules a function to run after the specified delay in milliseconds. Returns a timer ID.",Auto-clearing success messages and delayed navigation,"setTimeout(() => { this.successMessage = ''; this.cdr.detectChanges(); }, 5000);"
clearTimeout(),CustomerListComponent / GetCustomerComponent,Cancel a scheduled setTimeout,"Cancels a timeout previously established by setTimeout. Prevents the callback from executing.",Preventing duplicate timer when new operation starts before old timer fires,"if (this.successMessageTimeout) { clearTimeout(this.successMessageTimeout); }"
confirm(),CustomerListComponent / GetCustomerComponent,Show browser confirmation dialog,"Displays a modal dialog with OK/Cancel buttons. Returns true if OK clicked, false if Cancel.",Confirming destructive actions like customer deletion,"if (confirm('Are you sure you want to delete?')) { this.deleteCustomer(id); }"
console.log(),All Components,Output information to browser console,"Writes a message to the web console. Supports string substitution and object inspection.",Debugging API responses and component lifecycle,"console.log('Customers loaded:', data?.length);"
JSON.stringify(),Enterprise Pattern,Convert JavaScript object to JSON string,"Serializes an object to a JSON string. Handles nested objects, arrays, and primitives.",Storing user data in localStorage,"localStorage.setItem('user', JSON.stringify(res.user));"
provideRouter(),app.config.ts,Configure Angular router with routes,"Creates router providers including Router service, ActivatedRoute, RouterOutlet. Configures route matching.",Setting up application routing in standalone Angular,"provideRouter(routes)"
provideHttpClient(),app.config.ts,Configure Angular HttpClient,"Creates HttpClient providers. withFetch() enables Fetch API instead of XMLHttpRequest.",Setting up HTTP communication in standalone Angular,"provideHttpClient(withFetch())"
provideZonelessChangeDetection(),app.config.ts,Enable zoneless change detection,"Removes Zone.js dependency. Change detection only runs on signal changes or manual trigger.",Improving performance by eliminating Zone.js overhead,"provideZonelessChangeDetection()"
